,Opportunity Name,Level 2 Government,Bridge Name,Project Code,Stage,Sub-Stage,B2P Fiscal Year,Individuals Directly Served,Population Estimate 2000m,geometry,pop_sum
7,Uganda - Masaka-munsiso - 1022724,Kabarole,Masaka-munsiso,1022724,Complete,In Service,2022,11100.0,,"POLYGON ((30.513131 0.862348, 30.512991357073496 0.8595055029304427, 30.512573773131695 0.8566903806615322, 30.511882269736237 0.8539297443596205, 30.51092350644283 0.8512501804614124, 30.509706716666102 0.8486774946320461, 30.508243618756776 0.8462364632424315, 30.50654830314752 0.8439505947592543, 30.50463709665441 0.8418419033455902, 30.502528405240746 0.8399306968524807, 30.50024253675757 0.8382353812432262, 30.497801505367956 0.8367722833338977, 30.49522881953859 0.8355554935571727, 30.49254925564038 0.8345967302637659, 30.48978861933847 0.8339052268683064, 30.48697349706956 0.8334876429265063, 30.484131 0.833348, 30.481288502930443 0.8334876429265063, 30.478473380661534 0.8339052268683064, 30.475712744359623 0.8345967302637659, 30.473033180461414 0.8355554935571727, 30.470460494632047 0.8367722833338977, 30.468019463242435 0.8382353812432262, 30.465733594759257 0.8399306968524807, 30.463624903345593 0.8418419033455902, 30.46171369685248 0.8439505947592543, 30.460018381243227 0.8462364632424315, 30.4585552833339 0.8486774946320461, 30.457338493557174 0.8512501804614124, 30.456379730263766 0.8539297443596205, 30.455688226868308 0.8566903806615322, 30.455270642926507 0.8595055029304427, 30.455131 0.862348, 30.455270642926507 0.8651904970695573, 30.455688226868308 0.8680056193384678, 30.456379730263766 0.8707662556403795, 30.457338493557174 0.8734458195385876, 30.4585552833339 0.8760185053679539, 30.460018381243227 0.8784595367575685, 30.46171369685248 0.8807454052407457, 30.463624903345593 0.8828540966544098, 30.465733594759257 0.8847653031475193, 30.468019463242435 0.8864606187567738, 30.470460494632047 0.8879237166661023, 30.473033180461414 0.8891405064428273, 30.475712744359623 0.8900992697362341, 30.478473380661534 0.8907907731316936, 30.481288502930443 0.8912083570734937, 30.484131 0.891348, 30.48697349706956 0.8912083570734937, 30.48978861933847 0.8907907731316936, 30.49254925564038 0.8900992697362341, 30.49522881953859 0.8891405064428273, 30.497801505367956 0.8879237166661023, 30.50024253675757 0.8864606187567738, 30.502528405240746 0.8847653031475193, 30.50463709665441 0.8828540966544098, 30.50654830314752 0.8807454052407457, 30.508243618756776 0.8784595367575685, 30.509706716666102 0.8760185053679539, 30.51092350644283 0.8734458195385876, 30.511882269736237 0.8707662556403795, 30.512573773131695 0.8680056193384678, 30.512991357073496 0.8651904970695573, 30.513131 0.862348))",7361
18,Uganda - Kishanda-kisegere - 1039081,Kanungu,Kishanda-kisegere,1039081,Complete,In Service,2023,2090.0,,"POLYGON ((29.686129 -0.936912, 29.685989357073495 -0.9397544970695573, 29.685571773131695 -0.9425696193384677, 29.684880269736237 -0.9453302556403794, 29.68392150644283 -0.9480098195385875, 29.6827047166661 -0.9505825053679539, 29.681241618756776 -0.9530235367575685, 29.67954630314752 -0.9553094052407457, 29.67763509665441 -0.9574180966544098, 29.675526405240745 -0.9593293031475193, 29.673240536757568 -0.9610246187567738, 29.670799505367956 -0.9624877166661022, 29.66822681953859 -0.9637045064428272, 29.66554725564038 -0.9646632697362341, 29.66278661933847 -0.9653547731316936, 29.65997149706956 -0.9657723570734936, 29.657129 -0.965912, 29.654286502930443 -0.9657723570734936, 29.651471380661533 -0.9653547731316936, 29.648710744359622 -0.9646632697362341, 29.646031180461414 -0.9637045064428272, 29.643458494632046 -0.9624877166661022, 29.641017463242434 -0.9610246187567738, 29.638731594759257 -0.9593293031475193, 29.636622903345593 -0.9574180966544098, 29.63471169685248 -0.9553094052407457, 29.633016381243227 -0.9530235367575685, 29.6315532833339 -0.9505825053679539, 29.630336493557174 -0.9480098195385875, 29.629377730263766 -0.9453302556403794, 29.628686226868307 -0.9425696193384677, 29.628268642926507 -0.9397544970695573, 29.628129 -0.936912, 29.628268642926507 -0.9340695029304427, 29.628686226868307 -0.9312543806615322, 29.629377730263766 -0.9284937443596206, 29.630336493557174 -0.9258141804614124, 29.6315532833339 -0.9232414946320461, 29.633016381243227 -0.9208004632424315, 29.63471169685248 -0.9185145947592542, 29.636622903345593 -0.9164059033455901, 29.638731594759257 -0.9144946968524806, 29.641017463242434 -0.9127993812432261, 29.643458494632046 -0.9113362833338977, 29.646031180461414 -0.9101194935571727, 29.648710744359622 -0.9091607302637659, 29.651471380661533 -0.9084692268683063, 29.654286502930443 -0.9080516429265063, 29.657129 -0.9079119999999999, 29.65997149706956 -0.9080516429265063, 29.66278661933847 -0.9084692268683063, 29.66554725564038 -0.9091607302637659, 29.66822681953859 -0.9101194935571727, 29.670799505367956 -0.9113362833338977, 29.673240536757568 -0.9127993812432261, 29.675526405240745 -0.9144946968524806, 29.67763509665441 -0.9164059033455901, 29.67954630314752 -0.9185145947592542, 29.681241618756776 -0.9208004632424315, 29.6827047166661 -0.9232414946320461, 29.68392150644283 -0.9258141804614124, 29.684880269736237 -0.9284937443596205, 29.685571773131695 -0.9312543806615322, 29.685989357073495 -0.9340695029304427, 29.686129 -0.936912))",8169
38,Uganda - Kyabayenze - 1015937,Kasese,Kyabayenze,1015937,Complete,In Service,2021,23416.0,,"POLYGON ((29.770353 0.088369, 29.770213357073494 0.0855265029304427, 29.769795773131694 0.0827113806615323, 29.769104269736236 0.0799507443596206, 29.768145506442828 0.0772711804614124, 29.7669287166661 0.0746984946320461, 29.765465618756775 0.0722574632424315, 29.76377030314752 0.0699715947592543, 29.76185909665441 0.0678629033455901, 29.759750405240744 0.0659516968524806, 29.757464536757567 0.0642563812432262, 29.755023505367955 0.0627932833338977, 29.752450819538588 0.0615764935571727, 29.74977125564038 0.060617730263766, 29.747010619338468 0.0599262268683063, 29.74419549706956 0.0595086429265063, 29.741353 0.059369, 29.738510502930442 0.0595086429265063, 29.735695380661532 0.0599262268683063, 29.73293474435962 0.0606177302637659, 29.730255180461413 0.0615764935571727, 29.727682494632045 0.0627932833338977, 29.725241463242433 0.0642563812432262, 29.722955594759256 0.0659516968524806, 29.720846903345592 0.0678629033455901, 29.71893569685248 0.0699715947592543, 29.717240381243226 0.0722574632424315, 29.7157772833339 0.0746984946320461, 29.714560493557173 0.0772711804614124, 29.713601730263765 0.0799507443596206, 29.712910226868306 0.0827113806615323, 29.712492642926506 0.0855265029304427, 29.712353 0.088369, 29.712492642926506 0.0912114970695573, 29.712910226868306 0.0940266193384677, 29.713601730263765 0.0967872556403794, 29.714560493557173 0.0994668195385876, 29.7157772833339 0.1020395053679539, 29.717240381243226 0.1044805367575685, 29.71893569685248 0.1067664052407457, 29.720846903345592 0.1088750966544099, 29.722955594759256 0.1107863031475194, 29.725241463242433 0.1124816187567738, 29.727682494632045 0.1139447166661023, 29.730255180461413 0.1151615064428273, 29.73293474435962 0.1161202697362341, 29.735695380661532 0.1168117731316937, 29.738510502930442 0.1172293570734937, 29.741353 0.117369, 29.74419549706956 0.1172293570734937, 29.747010619338468 0.1168117731316937, 29.74977125564038 0.1161202697362341, 29.752450819538588 0.1151615064428273, 29.755023505367955 0.1139447166661023, 29.757464536757567 0.1124816187567738, 29.759750405240744 0.1107863031475194, 29.76185909665441 0.1088750966544099, 29.76377030314752 0.1067664052407457, 29.765465618756775 0.1044805367575685, 29.7669287166661 0.102039505367954, 29.768145506442828 0.0994668195385876, 29.769104269736236 0.0967872556403794, 29.769795773131694 0.0940266193384677, 29.770213357073494 0.0912114970695572, 29.770353 0.088369))",16588
50,Uganda - Kasumbelya - 1013817,Bundibugyo,Kasumbelya,1013817,Complete,,2022,8218.0,,"POLYGON ((30.029455 0.642, 30.029315357073493 0.6391575029304427, 30.028897773131693 0.6363423806615323, 30.028206269736234 0.6335817443596206, 30.027247506442826 0.6309021804614124, 30.0260307166661 0.6283294946320461, 30.024567618756773 0.6258884632424315, 30.02287230314752 0.6236025947592543, 30.020961096654407 0.6214939033455902, 30.018852405240743 0.6195826968524807, 30.016566536757566 0.6178873812432262, 30.014125505367954 0.6164242833338978, 30.011552819538586 0.6152074935571727, 30.008873255640378 0.6142487302637659, 30.006112619338467 0.6135572268683064, 30.003297497069557 0.6131396429265064, 30.000455 0.613, 29.99761250293044 0.6131396429265064, 29.99479738066153 0.6135572268683064, 29.99203674435962 0.6142487302637659, 29.98935718046141 0.6152074935571727, 29.986784494632044 0.6164242833338978, 29.984343463242432 0.6178873812432262, 29.982057594759254 0.6195826968524807, 29.97994890334559 0.6214939033455902, 29.97803769685248 0.6236025947592543, 29.976342381243224 0.6258884632424315, 29.974879283333898 0.6283294946320461, 29.97366249355717 0.6309021804614124, 29.972703730263763 0.6335817443596206, 29.972012226868305 0.6363423806615323, 29.971594642926505 0.6391575029304427, 29.971455 0.642, 29.971594642926505 0.6448424970695573, 29.972012226868305 0.6476576193384678, 29.972703730263763 0.6504182556403795, 29.97366249355717 0.6530978195385876, 29.974879283333898 0.6556705053679539, 29.976342381243224 0.6581115367575685, 29.97803769685248 0.6603974052407457, 29.97994890334559 0.6625060966544098, 29.982057594759254 0.6644173031475193, 29.984343463242432 0.6661126187567739, 29.986784494632044 0.6675757166661023, 29.98935718046141 0.6687925064428273, 29.99203674435962 0.6697512697362341, 29.99479738066153 0.6704427731316936, 29.99761250293044 0.6708603570734937, 30.000455 0.671, 30.003297497069557 0.6708603570734937, 30.006112619338467 0.6704427731316936, 30.008873255640378 0.6697512697362341, 30.011552819538586 0.6687925064428273, 30.014125505367954 0.6675757166661023, 30.016566536757566 0.6661126187567739, 30.018852405240743 0.6644173031475193, 30.020961096654407 0.6625060966544098, 30.02287230314752 0.6603974052407457, 30.024567618756773 0.6581115367575685, 30.0260307166661 0.6556705053679539, 30.027247506442826 0.6530978195385876, 30.028206269736234 0.6504182556403795, 30.028897773131693 0.6476576193384678, 30.029315357073493 0.6448424970695573, 30.029455 0.642))",27163
52,Uganda - Tuyobei - 1011084,Bukwa,Tuyobei,1011084,Complete,In Service,2020,1709.0,1066.0,"POLYGON ((34.755114000000006 1.439188, 34.75497435707349 1.4363455029304426, 34.754556773131696 1.4335303806615323, 34.75386526973624 1.4307697443596206, 34.75290650644283 1.4280901804614123, 34.75168971666611 1.425517494632046, 34.75022661875678 1.4230764632424315, 34.74853130314752 1.4207905947592543, 34.74662009665441 1.41868190334559, 34.74451140524075 1.4167706968524805, 34.74222553675757 1.4150753812432262, 34.73978450536796 1.4136122833338975, 34.737211819538594 1.4123954935571725, 34.73453225564038 1.4114367302637658, 34.73177161933847 1.4107452268683063, 34.72895649706956 1.4103276429265061, 34.726114 1.410188, 34.723271502930444 1.4103276429265061, 34.72045638066154 1.4107452268683063, 34.717695744359624 1.4114367302637658, 34.71501618046141 1.4123954935571725, 34.71244349463205 1.4136122833338975, 34.71000246324243 1.4150753812432262, 34.707716594759255 1.4167706968524805, 34.705607903345594 1.41868190334559, 34.70369669685248 1.4207905947592543, 34.70200138124323 1.4230764632424315, 34.7005382833339 1.425517494632046, 34.69932149355718 1.4280901804614123, 34.69836273026377 1.4307697443596206, 34.69767122686831 1.4335303806615323, 34.69725364292651 1.4363455029304426, 34.697114 1.439188, 34.69725364292651 1.4420304970695572, 34.69767122686831 1.4448456193384676, 34.69836273026377 1.4476062556403793, 34.69932149355718 1.4502858195385875, 34.7005382833339 1.452858505367954, 34.70200138124323 1.4552995367575683, 34.70369669685248 1.4575854052407455, 34.705607903345594 1.4596940966544099, 34.707716594759255 1.4616053031475194, 34.71000246324243 1.4633006187567736, 34.71244349463205 1.4647637166661023, 34.71501618046141 1.4659805064428273, 34.717695744359624 1.466939269736234, 34.72045638066154 1.4676307731316935, 34.723271502930444 1.4680483570734937, 34.726114 1.4681879999999998, 34.72895649706956 1.4680483570734937, 34.73177161933847 1.4676307731316935, 34.73453225564038 1.466939269736234, 34.737211819538594 1.4659805064428273, 34.73978450536796 1.4647637166661023, 34.74222553675757 1.4633006187567736, 34.74451140524075 1.4616053031475194, 34.74662009665441 1.4596940966544099, 34.74853130314752 1.4575854052407458, 34.75022661875678 1.4552995367575683, 34.75168971666611 1.452858505367954, 34.75290650644283 1.4502858195385875, 34.75386526973624 1.4476062556403793, 34.754556773131696 1.4448456193384676, 34.75497435707349 1.4420304970695572, 34.755114000000006 1.439188))",6225
72,Uganda - Mihani-Karichadi - 1014455,Kasese,Mihani-Karichadi,1014455,Complete,In Service,2022,5195.0,,"POLYGON ((30.168073 0.464045, 30.167933357073494 0.4612025029304427, 30.167515773131694 0.4583873806615323, 30.166824269736235 0.4556267443596206, 30.165865506442827 0.4529471804614124, 30.1646487166661 0.450374494632046, 30.163185618756774 0.4479334632424315, 30.16149030314752 0.4456475947592542, 30.159579096654408 0.4435389033455901, 30.157470405240744 0.4416276968524806, 30.155184536757567 0.4399323812432262, 30.152743505367955 0.4384692833338977, 30.150170819538587 0.4372524935571727, 30.14749125564038 0.4362937302637659, 30.144730619338468 0.4356022268683063, 30.141915497069558 0.4351846429265063, 30.139073 0.435045, 30.13623050293044 0.4351846429265063, 30.133415380661532 0.4356022268683063, 30.13065474435962 0.4362937302637659, 30.127975180461412 0.4372524935571727, 30.125402494632045 0.4384692833338977, 30.122961463242433 0.4399323812432261, 30.120675594759255 0.4416276968524806, 30.11856690334559 0.4435389033455901, 30.11665569685248 0.4456475947592542, 30.114960381243225 0.4479334632424315, 30.1134972833339 0.450374494632046, 30.112280493557172 0.4529471804614124, 30.111321730263764 0.4556267443596206, 30.110630226868306 0.4583873806615322, 30.110212642926506 0.4612025029304427, 30.110073 0.464045, 30.110212642926506 0.4668874970695572, 30.110630226868306 0.4697026193384677, 30.111321730263764 0.4724632556403794, 30.112280493557172 0.4751428195385876, 30.1134972833339 0.4777155053679539, 30.114960381243225 0.4801565367575684, 30.11665569685248 0.4824424052407457, 30.11856690334559 0.4845510966544099, 30.120675594759255 0.4864623031475194, 30.122961463242433 0.4881576187567738, 30.125402494632045 0.4896207166661023, 30.127975180461412 0.4908375064428273, 30.13065474435962 0.491796269736234, 30.133415380661532 0.4924877731316937, 30.13623050293044 0.4929053570734937, 30.139073 0.493045, 30.141915497069558 0.4929053570734937, 30.144730619338468 0.4924877731316937, 30.14749125564038 0.491796269736234, 30.150170819538587 0.4908375064428273, 30.152743505367955 0.4896207166661023, 30.155184536757567 0.4881576187567738, 30.157470405240744 0.4864623031475194, 30.159579096654408 0.4845510966544099, 30.16149030314752 0.4824424052407457, 30.163185618756774 0.4801565367575685, 30.1646487166661 0.4777155053679539, 30.165865506442827 0.4751428195385876, 30.166824269736235 0.4724632556403794, 30.167515773131694 0.4697026193384677, 30.167933357073494 0.4668874970695572, 30.168073 0.464045))",8350
82,Uganda - Kikuyu - 1011474,Bulambuli,Kikuyu,1011474,Complete,In Service,2020,2521.0,5742.0,"POLYGON ((34.341632000000004 1.273242, 34.34149235707349 1.2703995029304427, 34.341074773131695 1.2675843806615323, 34.340383269736236 1.2648237443596206, 34.339424506442825 1.2621441804614124, 34.338207716666105 1.259571494632046, 34.336744618756775 1.2571304632424316, 34.33504930314752 1.2548445947592544, 34.33313809665441 1.25273590334559, 34.33102940524075 1.2508246968524805, 34.32874353675757 1.2491293812432263, 34.326302505367956 1.2476662833338976, 34.32372981953859 1.2464494935571726, 34.32105025564038 1.2454907302637659, 34.318289619338465 1.2447992268683064, 34.31547449706956 1.2443816429265062, 34.312632 1.244242, 34.30978950293044 1.2443816429265062, 34.306974380661536 1.2447992268683064, 34.30421374435962 1.2454907302637659, 34.30153418046141 1.2464494935571726, 34.298961494632046 1.2476662833338976, 34.29652046324243 1.2491293812432263, 34.29423459475925 1.2508246968524805, 34.29212590334559 1.25273590334559, 34.29021469685248 1.2548445947592544, 34.288519381243226 1.2571304632424316, 34.2870562833339 1.259571494632046, 34.28583949355718 1.2621441804614124, 34.284880730263765 1.2648237443596206, 34.28418922686831 1.2675843806615323, 34.28377164292651 1.2703995029304427, 34.283632 1.273242, 34.28377164292651 1.2760844970695573, 34.28418922686831 1.2788996193384676, 34.284880730263765 1.2816602556403793, 34.28583949355718 1.2843398195385876, 34.2870562833339 1.286912505367954, 34.288519381243226 1.2893535367575684, 34.29021469685248 1.2916394052407456, 34.29212590334559 1.29374809665441, 34.29423459475925 1.2956593031475194, 34.29652046324243 1.2973546187567737, 34.298961494632046 1.2988177166661024, 34.30153418046141 1.3000345064428274, 34.30421374435962 1.300993269736234, 34.306974380661536 1.3016847731316936, 34.30978950293044 1.3021023570734938, 34.312632 1.302242, 34.31547449706956 1.3021023570734938, 34.318289619338465 1.3016847731316936, 34.32105025564038 1.300993269736234, 34.32372981953859 1.3000345064428274, 34.326302505367956 1.2988177166661024, 34.32874353675757 1.2973546187567737, 34.33102940524075 1.2956593031475194, 34.33313809665441 1.29374809665441, 34.33504930314752 1.2916394052407458, 34.336744618756775 1.2893535367575684, 34.338207716666105 1.286912505367954, 34.339424506442825 1.2843398195385876, 34.340383269736236 1.2816602556403793, 34.341074773131695 1.2788996193384676, 34.34149235707349 1.2760844970695573, 34.341632000000004 1.273242))",43177
90,Uganda - Sanzara - 1010460,Kapchorwa,Sanzara,1010460,Complete,In Service,2020,1730.0,1880.0,"POLYGON ((34.3633225 1.373657, 34.36318285707349 1.3708145029304426, 34.36276527313169 1.3679993806615323, 34.362073769736234 1.3652387443596206, 34.36111500644282 1.3625591804614123, 34.3598982166661 1.359986494632046, 34.35843511875677 1.3575454632424315, 34.35673980314752 1.3552595947592543, 34.35482859665441 1.35315090334559, 34.35271990524075 1.3512396968524805, 34.35043403675757 1.3495443812432262, 34.347993005367954 1.3480812833338975, 34.34542031953859 1.3468644935571725, 34.34274075564038 1.3459057302637658, 34.33998011933846 1.3452142268683063, 34.33716499706956 1.3447966429265061, 34.3343225 1.344657, 34.33148000293044 1.3447966429265061, 34.328664880661535 1.3452142268683063, 34.32590424435962 1.3459057302637658, 34.32322468046141 1.3468644935571725, 34.320651994632044 1.3480812833338975, 34.31821096324243 1.3495443812432262, 34.31592509475925 1.3512396968524805, 34.31381640334559 1.35315090334559, 34.31190519685248 1.3552595947592543, 34.310209881243225 1.3575454632424315, 34.308746783333895 1.359986494632046, 34.307529993557175 1.3625591804614123, 34.30657123026376 1.3652387443596206, 34.305879726868305 1.3679993806615323, 34.30546214292651 1.3708145029304426, 34.305322499999996 1.373657, 34.30546214292651 1.3764994970695572, 34.305879726868305 1.3793146193384676, 34.30657123026376 1.3820752556403793, 34.307529993557175 1.3847548195385875, 34.308746783333895 1.387327505367954, 34.310209881243225 1.3897685367575683, 34.31190519685248 1.3920544052407455, 34.31381640334559 1.3941630966544099, 34.31592509475925 1.3960743031475193, 34.31821096324243 1.3977696187567736, 34.320651994632044 1.3992327166661023, 34.32322468046141 1.4004495064428273, 34.32590424435962 1.401408269736234, 34.328664880661535 1.4020997731316935, 34.33148000293044 1.4025173570734937, 34.3343225 1.4026569999999998, 34.33716499706956 1.4025173570734937, 34.33998011933846 1.4020997731316935, 34.34274075564038 1.401408269736234, 34.34542031953859 1.4004495064428273, 34.347993005367954 1.3992327166661023, 34.35043403675757 1.3977696187567736, 34.35271990524075 1.3960743031475193, 34.35482859665441 1.3941630966544099, 34.35673980314752 1.3920544052407458, 34.35843511875677 1.3897685367575683, 34.3598982166661 1.387327505367954, 34.36111500644282 1.3847548195385875, 34.362073769736234 1.3820752556403793, 34.36276527313169 1.3793146193384676, 34.36318285707349 1.3764994970695572, 34.3633225 1.373657))",9097
106,Uganda - Kawuswo - 1011085,Bukwa,Kawuswo,1011085,Complete,In Service,2020,1374.0,27.0,"POLYGON ((34.751360000000005 1.419135, 34.75122035707349 1.4162925029304427, 34.750802773131696 1.4134773806615324, 34.75011126973624 1.4107167443596207, 34.749152506442826 1.4080371804614125, 34.747935716666106 1.405464494632046, 34.746472618756776 1.4030234632424317, 34.74477730314752 1.4007375947592544, 34.74286609665441 1.39862890334559, 34.74075740524075 1.3967176968524806, 34.73847153675757 1.3950223812432263, 34.73603050536796 1.3935592833338977, 34.73345781953859 1.3923424935571727, 34.73077825564038 1.391383730263766, 34.728017619338466 1.3906922268683064, 34.72520249706956 1.3902746429265063, 34.72236 1.3901350000000001, 34.719517502930444 1.3902746429265063, 34.71670238066154 1.3906922268683064, 34.71394174435962 1.391383730263766, 34.71126218046141 1.3923424935571727, 34.70868949463205 1.3935592833338977, 34.70624846324243 1.3950223812432263, 34.703962594759254 1.3967176968524806, 34.701853903345594 1.39862890334559, 34.69994269685248 1.4007375947592544, 34.69824738124323 1.4030234632424317, 34.6967842833339 1.405464494632046, 34.69556749355718 1.4080371804614125, 34.69460873026377 1.4107167443596207, 34.69391722686831 1.4134773806615324, 34.69349964292651 1.4162925029304427, 34.69336 1.419135, 34.69349964292651 1.4219774970695573, 34.69391722686831 1.4247926193384677, 34.69460873026377 1.4275532556403794, 34.69556749355718 1.4302328195385876, 34.6967842833339 1.432805505367954, 34.69824738124323 1.4352465367575684, 34.69994269685248 1.4375324052407457, 34.701853903345594 1.43964109665441, 34.703962594759254 1.4415523031475195, 34.70624846324243 1.4432476187567738, 34.70868949463205 1.4447107166661024, 34.71126218046141 1.4459275064428274, 34.71394174435962 1.4468862697362341, 34.71670238066154 1.4475777731316937, 34.719517502930444 1.4479953570734938, 34.72236 1.448135, 34.72520249706956 1.4479953570734938, 34.728017619338466 1.4475777731316937, 34.73077825564038 1.4468862697362341, 34.73345781953859 1.4459275064428274, 34.73603050536796 1.4447107166661024, 34.73847153675757 1.4432476187567738, 34.74075740524075 1.4415523031475195, 34.74286609665441 1.43964109665441, 34.74477730314752 1.4375324052407459, 34.746472618756776 1.4352465367575684, 34.747935716666106 1.432805505367954, 34.749152506442826 1.4302328195385876, 34.75011126973624 1.4275532556403794, 34.750802773131696 1.4247926193384677, 34.75122035707349 1.4219774970695573, 34.751360000000005 1.419135))",3277
158,Uganda - Kama - UG101,Mbale,Kama,UG101,Complete,In Service,2018,5280.0,16243.0,"POLYGON ((34.28146 1.11633, 34.28132035707349 1.1134875029304427, 34.28090277313169 1.1106723806615324, 34.280211269736235 1.1079117443596207, 34.27925250644282 1.1052321804614125, 34.2780357166661 1.102659494632046, 34.276572618756774 1.1002184632424317, 34.27487730314752 1.0979325947592544, 34.27296609665441 1.09582390334559, 34.27085740524075 1.0939126968524806, 34.26857153675757 1.0922173812432263, 34.266130505367954 1.0907542833338977, 34.26355781953859 1.0895374935571727, 34.26087825564038 1.088578730263766, 34.258117619338464 1.0878872268683064, 34.25530249706956 1.0874696429265063, 34.25246 1.0873300000000001, 34.24961750293044 1.0874696429265063, 34.246802380661535 1.0878872268683064, 34.24404174435962 1.088578730263766, 34.24136218046141 1.0895374935571727, 34.238789494632044 1.0907542833338977, 34.23634846324243 1.0922173812432263, 34.23406259475925 1.0939126968524806, 34.23195390334559 1.09582390334559, 34.23004269685248 1.0979325947592544, 34.228347381243225 1.1002184632424317, 34.226884283333895 1.102659494632046, 34.225667493557175 1.1052321804614125, 34.224708730263764 1.1079117443596207, 34.224017226868305 1.1106723806615324, 34.22359964292651 1.1134875029304427, 34.223459999999996 1.11633, 34.22359964292651 1.1191724970695573, 34.224017226868305 1.1219876193384677, 34.224708730263764 1.1247482556403794, 34.225667493557175 1.1274278195385876, 34.226884283333895 1.130000505367954, 34.228347381243225 1.1324415367575684, 34.23004269685248 1.1347274052407457, 34.23195390334559 1.13683609665441, 34.23406259475925 1.1387473031475195, 34.23634846324243 1.1404426187567738, 34.238789494632044 1.1419057166661024, 34.24136218046141 1.1431225064428274, 34.24404174435962 1.1440812697362341, 34.246802380661535 1.1447727731316937, 34.24961750293044 1.1451903570734938, 34.25246 1.14533, 34.25530249706956 1.1451903570734938, 34.258117619338464 1.1447727731316937, 34.26087825564038 1.1440812697362341, 34.26355781953859 1.1431225064428274, 34.266130505367954 1.1419057166661024, 34.26857153675757 1.1404426187567738, 34.27085740524075 1.1387473031475195, 34.27296609665441 1.13683609665441, 34.27487730314752 1.1347274052407457, 34.276572618756774 1.1324415367575684, 34.2780357166661 1.130000505367954, 34.27925250644282 1.1274278195385876, 34.280211269736235 1.1247482556403794, 34.28090277313169 1.1219876193384677, 34.28132035707349 1.1191724970695573, 34.28146 1.11633))",44875
